Major,Bachelor Income (USD),Master Income (USD),Avg Debt (USD),Income Advantage (Master vs Bachelor),ROI Estimate (30 years)
Computer Science,80000,100000,53300,20000,522700
Economics,80000,100000,53300,20000,522700
Education,48000,60000,53300,12000,282700
Electrical Engineering,80000,100000,53300,20000,522700
Elementary Education,48000,60000,53300,12000,282700
Family And Consumer Sciences,48000,60000,53300,12000,282700
Fine Arts,48000,60000,53300,12000,282700
General Business,64096,80120,53300,16024,403420
History,,,53300,,
Mechanical Engineering,80000,100000,53300,20000,522700
Social Work,48000,60000,53300,12000,282700
